competition_group,electric_utility,gas_utility,building_type,time,total_stock,ret_er_stock,remaining_stock,rob_stock,remaining_below_baseline_stock,remaining_baseline_stock,remaining_efficient_stock,remaining_top10_stock,ret_er_below_baseline_stock,ret_er_baseline_stock,ret_er_efficient_stock,ret_er_top10_stock,rob_below_baseline_stock,rob_baseline_stock,rob_efficient_stock,rob_top10_stock
whole_home,test_utility_1,test_utility_1,multi_family_li,7,125.0,37.50631096631611,74.98741775897983,12.506271274704055,0.0,52.5058406207133,22.48157713826653,0.0,0.0,18.433340493146744,19.072970473169363,0.0,0.0,5.217943751946028,7.288327522758028,0.0
whole_home,test_utility_1,test_utility_1,multi_family_li,8,124.99999999999999,37.50211027070738,74.9957860738539,12.502103655438702,0.0,56.261138458631805,18.73464761522211,0.0,0.0,21.29417337185897,16.207936898848402,0.0,0.0,6.2715999675367105,6.230503687901991,0.0
whole_home,test_utility_1,test_utility_1,multi_family_li,9,125.0,37.5007045261139,74.99859205031697,12.500703423569124,0.0,59.38638570429854,15.612206346018425,0.0,0.0,23.78907781632926,13.711626709784639,0.0,0.0,7.206110703278647,5.294592720290478,0.0
whole_home,test_utility_1,test_utility_1,multi_family_li,10,124.99999999999999,37.50023502579542,74.9995301321666,12.500234842037965,0.0,61.989358177151246,13.010171955015355,0.0,0.0,25.93993785106639,11.560297174729033,0.0,0.0,8.021103450174984,4.479131391862982,0.0
whole_home,test_utility_1,test_utility_1,multi_family_li,11,125.0,37.50007837255805,74.99984328551014,12.500078341931806,0.0,64.15803332299734,10.841809962512796,0.0,0.0,27.778988892565852,9.721089479992195,0.0,0.0,8.723714598186989,3.776363743744817,0.0
whole_home,test_utility_1,test_utility_1,multi_family_li,12,125.0,37.50002612929039,74.99994774652359,12.500026124186014,0.0,65.96510611109626,9.03484163542733,0.0,0.0,29.34194600861002,8.158080120680367,0.0,0.0,9.324470227388565,3.17555589679745,0.0
whole_home,test_utility_1,test_utility_1,multi_family_li,13,125.0,37.50000871061419,74.99998257962234,12.500008709763462,0.0,67.4709478834329,7.529034696189442,0.0,0.0,30.664256092531794,6.835752618082394,0.0,0.0,9.835035870341208,2.664972839422253,0.0
whole_home,test_utility_1,test_utility_1,multi_family_li,14,124.99999999999999,37.50000290367984,74.99999419278208,12.50000290353806,0.0,68.72579861262422,6.274195580157869,0.0,0.0,31.77913874383444,5.720864159845405,0.0,0.0,10.266990381631146,2.2330125219069155,0.0
whole_home,test_utility_1,test_utility_1,multi_family_li,15,124.99999999999999,37.500000967916904,74.9999980641898,12.500000967893282,0.0,69.77150174739157,5.228496316798225,0.0,0.0,32.71667045345826,4.783330514458642,0.0,0.0,10.631185342343782,1.868815625549499,0.0
whole_home,test_utility_1,test_utility_1,multi_family_li,16,124.99999999999997,37.5000003226429,74.99999935471811,12.500000322638968,0.0,70.64291909071959,4.357080263998521,0.0,0.0,33.50347500039688,3.996525322246017,0.0,0.0,10.937445687915812,1.5625546347231565,0.0
whole_home,test_utility_1,test_utility_1,multi_family_li,17,124.99999999999997,37.50000010754828,74.99999978490406,12.500000107547631,0.0,71.3690995649053,3.630900219998767,0.0,0.0,34.162756853014464,3.337243254533818,0.0,0.0,11.1944685022806,1.3055316052670323,0.0
whole_home,test_utility_1,test_utility_1,multi_family_li,18,124.99999999999999,37.50000003584953,74.99999992830102,12.500000035849428,0.0,71.97424974496872,3.025750183332306,0.0,0.0,34.71451773955431,2.785482296295222,0.0,0.0,11.409833906035047,1.0901661298143805,0.0
whole_home,test_utility_1,test_utility_1,multi_family_li,19,124.99999999999997,37.50000001194985,74.99999997610027,12.500000011949842,0.0,72.47854148999002,2.521458486110255,0.0,0.0,35.175859881148256,2.324140130801596,0.0,0.0,11.59007579516007,0.9099242167897725,0.0
whole_home,test_utility_1,test_utility_1,single_family_li,0,1249.9999999999998,402.7777777777777,805.5555555555554,41.666666666666664,0.0,0.0,805.5555555555554,0.0,0.0,0.0,402.7777777777777,0.0,0.0,0.0,41.666666666666664,0.0
whole_home,test_utility_1,test_utility_1,single_family_li,1,1249.9999999999998,402.7777777777777,712.9629629629628,134.25925925925924,0.0,41.666666666666664,671.2962962962962,0.0,0.0,5.3703703703703685,397.40740740740733,0.0,0.0,2.6851851851851842,131.57407407407405,0.0
